circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,EARRNI GUDA,NON-DOMESTIC AND COMMERCIAL,2,4,4.0,230,6.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,ELGONDA GUDA,NON-DOMESTIC AND COMMERCIAL,2,7,6.0,164,5.42
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHILKUR,NON-DOMESTIC AND COMMERCIAL,2,802,717.0,355964,4851.68
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHILKUR-I,NON-DOMESTIC AND COMMERCIAL,2,218,214.0,20763,440.05
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINA SHAPOOR,NON-DOMESTIC AND COMMERCIAL,2,34,28.0,5882,284.97
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINNA MANGLARAM,NON-DOMESTIC AND COMMERCIAL,2,120,104.0,16338,478.24
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,CHINNAMANGANGALARAM,NON-DOMESTIC AND COMMERCIAL,2,9,9.0,13041,274.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,ELKA GUDA,NON-DOMESTIC AND COMMERCIAL,2,46,44.0,8476,174.1
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,GPRA,NON-DOMESTIC AND COMMERCIAL,2,32,28.0,4926,103.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV APHB COLONY,NON-DOMESTIC AND COMMERCIAL,2,627,180.0,378542,5197.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV CHITRAPURI COLONY,NON-DOMESTIC AND COMMERCIAL,2,4,4.0,1028,120.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GACHIBOWLI,NON-DOMESTIC AND COMMERCIAL,2,344,99.0,218747,3318.4
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV GOWLI DODDI,NON-DOMESTIC AND COMMERCIAL,2,325,223.0,1057707,11049.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV JAIN,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,6263,43.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV KHAJAGUDA,NON-DOMESTIC AND COMMERCIAL,2,278,206.0,630718,6434.02
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV NANAKRAMGUDA,NON-DOMESTIC AND COMMERCIAL,2,184,138.0,591262,6020.29
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,P.W.S.,NON-DOMESTIC AND COMMERCIAL,2,2,2.0,7654,72.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,RAI DURGAM-2,NON-DOMESTIC AND COMMERCIAL,2,326,257.0,190067,2344.24
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,RAIDURGAM,NON-DOMESTIC AND COMMERCIAL,2,422,239.0,159391,1866.24
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,SAI AISHWARYA LAYOUT,NON-DOMESTIC AND COMMERCIAL,2,195,191.0,107377,1114.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,SECRETARIAT COLONY,NON-DOMESTIC AND COMMERCIAL,2,38,38.0,8317,195.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,STREETLIGHT,NON-DOMESTIC AND COMMERCIAL,2,3,1.0,131,3.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,STREETLIGHT1,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,4209,40.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,URELLA,NON-DOMESTIC AND COMMERCIAL,2,78,62.0,16246,294.09
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,VENKANNAGUDA,NON-DOMESTIC AND COMMERCIAL,2,2,2.0,88,2.3
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,YENKA PALLY,NON-DOMESTIC AND COMMERCIAL,2,26,24.0,11541,215.68
CYBERCITY,IBRAHIMBAGH,CHEVELLA,CHEVELLA,,NON-DOMESTIC AND COMMERCIAL,2,1,,0,0.01
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,ANTHARAM-S,NON-DOMESTIC AND COMMERCIAL,2,19,16.0,3881,119.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,ANTHI REDDY GUDA,NON-DOMESTIC AND COMMERCIAL,2,2,1.0,2181,5.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,GOLLUR GUDA,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,13,1.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,GOPIGADDA,NON-DOMESTIC AND COMMERCIAL,2,8,8.0,399,10.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,HAITA BAD,NON-DOMESTIC AND COMMERCIAL,2,283,267.0,74824,667.03
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KAKLOOR,NON-DOMESTIC AND COMMERCIAL,2,45,32.0,10291,172.65
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KESARAM (S),NON-DOMESTIC AND COMMERCIAL,2,12,11.0,503,15.48
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KESHAVA GUDA,NON-DOMESTIC AND COMMERCIAL,2,7,6.0,629,20.24
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,HIMAYATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,383,316.0,132729,2159.19
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,HIMAYATH NAGAR-I,NON-DOMESTIC AND COMMERCIAL,2,716,710.0,448146,3875.24
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,MEDIPALLY,NON-DOMESTIC AND COMMERCIAL,2,78,74.0,36877,507.88
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,MOTHKAPALLY,NON-DOMESTIC AND COMMERCIAL,2,24,22.0,4852,173.16
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,PADDA MANGALARAM,NON-DOMESTIC AND COMMERCIAL,2,26,21.0,25443,736.7
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,"ADITYA,PRAKASH NAGAR",NON-DOMESTIC AND COMMERCIAL,2,86,81.0,45611,303.72
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,BHEL EX-COOP HSG SOC,NON-DOMESTIC AND COMMERCIAL,2,94,82.0,38221,531.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,CHANDANAGAR-HV,NON-DOMESTIC AND COMMERCIAL,2,319,260.0,830882,7571.5
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,CHANDANAGAR-STL,NON-DOMESTIC AND COMMERCIAL,2,3,3.0,1150,43.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,GAZTEED COLONY,NON-DOMESTIC AND COMMERCIAL,2,86,69.0,43548,488.97
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADEENAGUDA,NON-DOMESTIC AND COMMERCIAL,2,213,166.0,68627,796.74
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADEENAGUDA MYTHRI NAGAR ,NON-DOMESTIC AND COMMERCIAL,2,282,235.0,86357,959.53
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV OLD GACHIBOWLI,NON-DOMESTIC AND COMMERCIAL,2,227,88.0,191137,2141.9
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,HV TELECOM NAGAR,NON-DOMESTIC AND COMMERCIAL,2,166,114.0,138809,1352.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,IVRCL,NON-DOMESTIC AND COMMERCIAL,2,3,2.0,545,15.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,JAIN HOUSING,NON-DOMESTIC AND COMMERCIAL,2,9,8.0,8276,50.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,JOURNALIST COLONY ,NON-DOMESTIC AND COMMERCIAL,2,145,87.0,110150,960.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,KHAJA GUDA,NON-DOMESTIC AND COMMERCIAL,2,174,131.0,47666,732.05
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,KHAJAGUDA-2,NON-DOMESTIC AND COMMERCIAL,2,165,140.0,54225,596.2
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TELECOM NAGAR,NON-DOMESTIC AND COMMERCIAL,2,377,304.0,143342,1518.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TNGOS HYDERABAD,NON-DOMESTIC AND COMMERCIAL,2,178,161.0,87715,1149.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TNGOS HYEDRABAD II,NON-DOMESTIC AND COMMERCIAL,2,266,263.0,134843,1608.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,TNGOS RANGA REDDY,NON-DOMESTIC AND COMMERCIAL,2,519,452.0,252482,2533.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,GACHIBOWLI,,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,3023,30.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,AADARSH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,131,130.0,44194,367.5
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,APARNA NALLAGANDLA,NON-DOMESTIC AND COMMERCIAL,2,1,,0,5.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,BAPU NAGAR LINGAMPALLY,NON-DOMESTIC AND COMMERCIAL,2,205,188.0,43851,522.54
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,BASTHI DAWAKHANA NEHRU NAGAR,NON-DOMESTIC AND COMMERCIAL,2,17,16.0,2634,33.44
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KOMARBANDA,NON-DOMESTIC AND COMMERCIAL,2,17,15.0,722,36.24
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KUMARAGUDA,NON-DOMESTIC AND COMMERCIAL,2,22,20.0,1209,20.44
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,KURVAGUDA,NON-DOMESTIC AND COMMERCIAL,2,27,24.0,2628,44.18
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,LAXMIRAO GUDA,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,575,8.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,LINGAREDDY GUDA (D),NON-DOMESTIC AND COMMERCIAL,2,12,12.0,477,33.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,LINGAREDDY GUDA (M),NON-DOMESTIC AND COMMERCIAL,2,1,1.0,0,1.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MACHAN PALLY,NON-DOMESTIC AND COMMERCIAL,2,34,32.0,5441,121.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,PEDDAMANGALARAM,NON-DOMESTIC AND COMMERCIAL,2,399,374.0,91137,1767.71
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,QUTUBUDDIN GUDA,NON-DOMESTIC AND COMMERCIAL,2,107,104.0,20997,430.89
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,REDDY PALLY,NON-DOMESTIC AND COMMERCIAL,2,119,113.0,16524,277.0
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,VEERANNAPET,NON-DOMESTIC AND COMMERCIAL,2,50,50.0,9882,246.16
CYBERCITY,IBRAHIMBAGH,MOKILA,CHILKUR,VIJAYNAGAR COLONEY,NON-DOMESTIC AND COMMERCIAL,2,362,361.0,59653,751.21
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MADINAGUDA VILLAGE PART,NON-DOMESTIC AND COMMERCIAL,2,167,123.0,54439,579.75
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MARTHANDA NAGAR-2,NON-DOMESTIC AND COMMERCIAL,2,221,162.0,74648,616.12
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,MARTHANDA NAGAR-NEW,NON-DOMESTIC AND COMMERCIAL,2,45,45.0,6337,67.7
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZ PET,NON-DOMESTIC AND COMMERCIAL,2,361,321.0,117981,990.09
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET,NON-DOMESTIC AND COMMERCIAL,2,271,266.0,77908,719.44
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET 5,NON-DOMESTIC AND COMMERCIAL,2,152,150.0,43587,278.13
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET-3,NON-DOMESTIC AND COMMERCIAL,2,274,238.0,65538,534.2
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,DAIMOND HEIGHTS,NON-DOMESTIC AND COMMERCIAL,2,57,54.0,18959,208.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,DUBE COLONY,NON-DOMESTIC AND COMMERCIAL,2,107,104.0,41256,338.5
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,G LAMBADI TANDA,NON-DOMESTIC AND COMMERCIAL,2,436,363.0,245920,1885.16
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,GOPANPALLY,NON-DOMESTIC AND COMMERCIAL,2,230,196.0,75206,761.24
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,"GOVT,SERVICES",NON-DOMESTIC AND COMMERCIAL,2,26,6.0,6376,60.7
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,GULMOHAR & DUBE COLONY,NON-DOMESTIC AND COMMERCIAL,2,108,91.0,19649,278.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,GULMOUR DOUBLE BED ROOM HOUSES,NON-DOMESTIC AND COMMERCIAL,2,20,20.0,6602,68.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,HV G.L.THANDA,NON-DOMESTIC AND COMMERCIAL,2,32,22.0,63389,842.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MADDUR,NON-DOMESTIC AND COMMERCIAL,2,44,40.0,12623,175.48
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MAL REDDY GUDA,NON-DOMESTIC AND COMMERCIAL,2,18,18.0,1577,26.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MANMARY,NON-DOMESTIC AND COMMERCIAL,2,14,12.0,7057,48.24
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MARYAPOOR,NON-DOMESTIC AND COMMERCIAL,2,2,1.0,174,2.5
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MEERAPOOR,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,34,1.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUDDAM GUDA,NON-DOMESTIC AND COMMERCIAL,2,8,8.0,213,9.42
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,AMDA POOR,NON-DOMESTIC AND COMMERCIAL,2,128,119.0,31362,498.44
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,AZIZ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,378,336.0,228097,3282.19
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,AZIZ NAGAR-I,NON-DOMESTIC AND COMMERCIAL,2,141,137.0,18742,248.4
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,BAKARAM,NON-DOMESTIC AND COMMERCIAL,2,127,115.0,23858,486.44
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,CHAKLI GUDA,NON-DOMESTIC AND COMMERCIAL,2,54,53.0,21792,374.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,ETHBAR PALLY,NON-DOMESTIC AND COMMERCIAL,2,5,4.0,9556,124.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,NEW HAFEEZPET4,NON-DOMESTIC AND COMMERCIAL,2,85,85.0,22773,173.23
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,RTC COLONY,NON-DOMESTIC AND COMMERCIAL,2,319,285.0,101982,1564.64
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,SAIKRUPA APPARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,35,24.0,9260,120.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,CHANDA NAGAR,SAMATHA COOP HSG SOC,NON-DOMESTIC AND COMMERCIAL,2,257,246.0,58615,699.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,ADITHYA NAGAR 1 TO 14 LEFT,NON-DOMESTIC AND COMMERCIAL,2,175,173.0,39145,342.64
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,ADITHYA NAGAR HV,NON-DOMESTIC AND COMMERCIAL,2,129,49.0,172400,1853.13
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,"ADITHYA NAGAR,1 TO 12 RIGHT",NON-DOMESTIC AND COMMERCIAL,2,246,219.0,44391,395.48
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,HV GOPANPALLY,NON-DOMESTIC AND COMMERCIAL,2,63,53.0,143253,1816.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,KANCHI GACHIBOWLI,NON-DOMESTIC AND COMMERCIAL,2,229,225.0,109205,1177.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,LAXMI VIHAR,NON-DOMESTIC AND COMMERCIAL,2,18,10.0,1743,71.5
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NALAGANDLA_HUDA SIDE,NON-DOMESTIC AND COMMERCIAL,2,383,350.0,155652,2006.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NALLAGADLA HV,NON-DOMESTIC AND COMMERCIAL,2,314,289.0,792382,8320.09
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NALLAGANDLA,NON-DOMESTIC AND COMMERCIAL,2,175,172.0,69019,912.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NALLAGANDLA_VILLAGE,NON-DOMESTIC AND COMMERCIAL,2,157,116.0,45224,587.07
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,MUKTAGUDA,NON-DOMESTIC AND COMMERCIAL,2,7,6.0,117,8.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NADAR KHAN PET,NON-DOMESTIC AND COMMERCIAL,2,23,20.0,10249,52.48
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGAR KUNTA,NON-DOMESTIC AND COMMERCIAL,2,21,19.0,8031,69.13
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAGARAO GUDA,NON-DOMESTIC AND COMMERCIAL,2,409,391.0,46479,932.66
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,NAREDLA GUDA,NON-DOMESTIC AND COMMERCIAL,2,3,3.0,199,6.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PATEL GUDA,NON-DOMESTIC AND COMMERCIAL,2,3,3.0,29,7.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PEDDA SOLIPET,NON-DOMESTIC AND COMMERCIAL,2,8,5.0,770,37.24
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,ETHBARPALLY,NON-DOMESTIC AND COMMERCIAL,2,134,130.0,39030,656.34
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,HIMAYATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,1,1.0,0,2.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KANCHIMAN GUDA,NON-DOMESTIC AND COMMERCIAL,2,7,3.0,506,19.6
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KANKAMAMIDI,NON-DOMESTIC AND COMMERCIAL,2,409,371.0,132136,2033.48
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KASIM BOWLI,NON-DOMESTIC AND COMMERCIAL,2,16,15.0,7408,42.48
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,KETHI REDDY PALLY,NON-DOMESTIC AND COMMERCIAL,2,181,165.0,41894,995.67
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,AMBEDHKAR NAGAR,NON-DOMESTIC AND COMMERCIAL,2,395,306.0,90031,1011.57
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,ENDECO BULIDERS & DEVELOPERS,NON-DOMESTIC AND COMMERCIAL,2,4,4.0,3040,16.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,HAFEEZPET VILLAGE,NON-DOMESTIC AND COMMERCIAL,2,99,70.0,32020,277.68
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,HAFEEZPET WASHERMAN LAUNDRY,NON-DOMESTIC AND COMMERCIAL,2,27,27.0,2235,27.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,HAFEEZPET YOUTH COLONY,NON-DOMESTIC AND COMMERCIAL,2,217,90.0,47264,415.2
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,HANUMAN TEMPLE SCB NAGAR,NON-DOMESTIC AND COMMERCIAL,2,156,142.0,47111,356.19
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,JANAPRIYA APARTMENTS,NON-DOMESTIC AND COMMERCIAL,2,81,74.0,6938,127.85
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,JANAPRIYA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,21,19.0,4569,34.9
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NEHRU NAGAR LINGAMPALLY,NON-DOMESTIC AND COMMERCIAL,2,64,50.0,10301,105.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NETHAGI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,41,38.0,14311,128.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NON CT NALLAGANDLA,NON-DOMESTIC AND COMMERCIAL,2,109,79.0,112292,1219.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,NTR NAGAR,NON-DOMESTIC AND COMMERCIAL,2,193,180.0,132059,853.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,SAI RAM COLONY,NON-DOMESTIC AND COMMERCIAL,2,239,212.0,142984,1652.51
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,STREETLIGHTS,NON-DOMESTIC AND COMMERCIAL,2,8,8.0,6291,37.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,NALLAGANDLA,TAJ NAGAR,NON-DOMESTIC AND COMMERCIAL,2,125,122.0,33724,369.0
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR, CHANDA NAGAR HV NON-CT,NON-DOMESTIC AND COMMERCIAL,2,109,106.0,133670,1213.62
CYBERCITY,GACHIBOWLI,GACHIBOWLI,TARANAGAR,CHANDA NAGAR HV,NON-DOMESTIC AND COMMERCIAL,2,36,23.0,40973,567.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,PEDDA VEEDU,NON-DOMESTIC AND COMMERCIAL,2,14,12.0,1623,31.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,POLLARAM,NON-DOMESTIC AND COMMERCIAL,2,5,5.0,611,6.0
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,POTHUGAL,NON-DOMESTIC AND COMMERCIAL,2,49,46.0,7460,139.32
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,REGADI DOSAWADA,NON-DOMESTIC AND COMMERCIAL,2,18,17.0,3911,47.66
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,REPORTERS COLONY,NON-DOMESTIC AND COMMERCIAL,2,137,137.0,14653,244.56
CYBERCITY,IBRAHIMBAGH,CHEVELLA,SHABAD,RUDRARAM,NON-DOMESTIC AND COMMERCIAL,2,12,9.0,784,22.6
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MOINABAD,NON-DOMESTIC AND COMMERCIAL,2,796,700.0,138427,1904.2
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MURTHUZA GUDA,NON-DOMESTIC AND COMMERCIAL,2,10,9.0,10336,310.0
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,MURTUZA GUDA,NON-DOMESTIC AND COMMERCIAL,2,190,183.0,35056,711.14
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAGI REDDY GUDA,NON-DOMESTIC AND COMMERCIAL,2,118,110.0,93470,976.26
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAKKALPELLY,NON-DOMESTIC AND COMMERCIAL,2,39,36.0,3537,97.24
CYBERCITY,IBRAHIMBAGH,MOKILA,MOINABAD,NAZEEB NAGAR,NON-DOMESTIC AND COMMERCIAL,2,30,27.0,8379,265.99
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,JANAPRIYA-2,NON-DOMESTIC AND COMMERCIAL,2,60,53.0,8075,77.0
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,KRISHNA COLONY,NON-DOMESTIC AND COMMERCIAL,2,48,46.0,6658,89.42
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,KUMARBASTHI OLD HAFEEZPET,NON-DOMESTIC AND COMMERCIAL,2,54,54.0,8600,108.84
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MADHAVA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,331,275.0,91101,808.83
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MATRUSRI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,180,146.0,39361,726.23
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MATRUSRI SBI BANK AREA,NON-DOMESTIC AND COMMERCIAL,2,151,131.0,45374,648.14
CYBERCITY,GACHIBOWLI,CHANDA NAGAR,HAFEEZPET,MATRUSRI SOCIETY OFFICE AREA,NON-DOMESTIC AND COMMERCIAL,2,303,267.0,100496,1429.24
