circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,D.N.M.COLONY,NON-DOMESTIC AND COMMERCIAL,2,97,94.0,9169,173.41
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,FATEH BAGH,NON-DOMESTIC AND COMMERCIAL,2,54,41.0,8106,138.61
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,FETEH NAGAR GATE,NON-DOMESTIC AND COMMERCIAL,2,134,104.0,16421,291.3
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV BHARATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,103,88.0,173944,1309.11
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV SANATHNAGAR,NON-DOMESTIC AND COMMERCIAL,2,169,133.0,185007,2297.17
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,H.P.ROAD,NON-DOMESTIC AND COMMERCIAL,2,209,191.0,33889,536.2
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,I.E.SANATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,85,63.0,10916,243.5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,JAYAPRAKASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,65,60.0,9049,126.0
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,KAILASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,56,56.0,7229,79.46
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,KUKATPALLY X ROADS,NON-DOMESTIC AND COMMERCIAL,2,166,139.0,22800,400.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,MOOSAPET,NON-DOMESTIC AND COMMERCIAL,2,208,156.0,43039,555.02
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,NEHRU NAGAR,NON-DOMESTIC AND COMMERCIAL,2,110,106.0,12883,171.2
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,NEW S R T 601 TO 700,NON-DOMESTIC AND COMMERCIAL,2,74,72.0,7815,106.56
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,RAJA RAJESHWARI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,45,39.0,4237,97.53
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,RAVINDRA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,57,54.0,11515,95.22
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.P.NAGAR (MARKET),NON-DOMESTIC AND COMMERCIAL,2,156,148.0,30652,261.1
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T 701 TO 820 MARKET LANE,NON-DOMESTIC AND COMMERCIAL,2,152,140.0,16028,220.99
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.(NEAR POLICE STN),NON-DOMESTIC AND COMMERCIAL,2,85,83.0,13685,204.98
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,"S.R.T.QRTS, NEAR BUSSTOP",NON-DOMESTIC AND COMMERCIAL,2,213,201.0,42098,541.08
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.QUARTERS,NON-DOMESTIC AND COMMERCIAL,2,137,132.0,13639,200.69
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SANATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,228,178.0,34342,365.28
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SIVAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,459,10.0
