circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,units_per_service,service_utilization_ratio,avg_load_per_service,load_efficiency
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,BHARATNAGAR LIG,NON-DOMESTIC AND COMMERCIAL,2,51,50.0,3459,58.46,67.82352941176471,0.9803921568627451,1.1462745098039215,59.168662333219295
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,BHARATNAGAR LIG (E),NON-DOMESTIC AND COMMERCIAL,2,51,49.0,3214,55.4,63.01960784313726,0.9607843137254902,1.0862745098039215,58.014440433213
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,BHARATNAGAR MIG,NON-DOMESTIC AND COMMERCIAL,2,115,97.0,10738,179.84,93.37391304347825,0.8434782608695652,1.5638260869565217,59.70862989323843
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,BHARATNAGAR PVT HOUSES,NON-DOMESTIC AND COMMERCIAL,2,43,15.0,3085,103.4,71.74418604651163,0.3488372093023256,2.4046511627906977,29.83558994197292
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,"BHARATNAGAR,EWS (W)",NON-DOMESTIC AND COMMERCIAL,2,36,34.0,3184,36.28,88.44444444444444,0.9444444444444444,1.0077777777777779,87.76185226019845
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,BHAVANI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,95,80.0,11845,238.82,124.6842105263158,0.8421052631578947,2.513894736842105,49.598023616112556
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CT METERS,NON-DOMESTIC AND COMMERCIAL,2,168,138.0,473944,5738.89,2821.095238095238,0.8214285714285714,34.16005952380952,82.58461130985259
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CZECH COLONY EAST & SOUTH,NON-DOMESTIC AND COMMERCIAL,2,59,54.0,9437,193.52,159.94915254237287,0.9152542372881356,3.2800000000000002,48.764985531211245
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,CZECH COLONY WEST,NON-DOMESTIC AND COMMERCIAL,2,135,121.0,50399,852.5,373.3259259259259,0.8962962962962963,6.314814814814815,59.11906158357771
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,D.N.M.COLONY,NON-DOMESTIC AND COMMERCIAL,2,97,94.0,9169,173.41,94.52577319587628,0.9690721649484536,1.7877319587628866,52.87469004094343
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,FATEH BAGH,NON-DOMESTIC AND COMMERCIAL,2,54,41.0,8106,138.61,150.11111111111111,0.7592592592592593,2.566851851851852,58.4806291032393
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,FETEH NAGAR GATE,NON-DOMESTIC AND COMMERCIAL,2,134,104.0,16421,291.3,122.54477611940298,0.7761194029850746,2.1738805970149255,56.37143837967731
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV BHARATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,103,88.0,173944,1309.11,1688.7766990291261,0.8543689320388349,12.709805825242718,132.8719511729343
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,GRC HV SANATHNAGAR,NON-DOMESTIC AND COMMERCIAL,2,169,133.0,185007,2297.17,1094.715976331361,0.7869822485207101,13.592721893491124,80.53692151647462
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,H.P.ROAD,NON-DOMESTIC AND COMMERCIAL,2,209,191.0,33889,536.2,162.14832535885168,0.9138755980861244,2.56555023923445,63.20216337187616
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,I.E.SANATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,85,63.0,10916,243.5,128.42352941176472,0.7411764705882353,2.864705882352941,44.82956878850103
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,JAYAPRAKASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,65,60.0,9049,126.0,139.2153846153846,0.9230769230769231,1.9384615384615385,71.81746031746032
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,KAILASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,56,56.0,7229,79.46,129.08928571428572,1.0,1.4189285714285713,90.97659199597283
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,KUKATPALLY X ROADS,NON-DOMESTIC AND COMMERCIAL,2,166,139.0,22800,400.98,137.34939759036143,0.8373493975903614,2.415542168674699,56.860691306299564
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,MOOSAPET,NON-DOMESTIC AND COMMERCIAL,2,208,156.0,43039,555.02,206.91826923076923,0.75,2.6683653846153845,77.54495333501495
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,NEHRU NAGAR,NON-DOMESTIC AND COMMERCIAL,2,110,106.0,12883,171.2,117.11818181818182,0.9636363636363636,1.5563636363636362,75.25116822429906
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,NEW S R T 601 TO 700,NON-DOMESTIC AND COMMERCIAL,2,74,72.0,7815,106.56,105.60810810810811,0.972972972972973,1.44,73.33896396396396
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,RAJA RAJESHWARI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,45,39.0,4237,97.53,94.15555555555555,0.8666666666666667,2.1673333333333336,43.44304316620527
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,RAVINDRA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,57,54.0,11515,95.22,202.01754385964912,0.9473684210526315,1.6705263157894736,120.93047679059022
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.P.NAGAR (MARKET),NON-DOMESTIC AND COMMERCIAL,2,156,148.0,30652,261.1,196.48717948717947,0.9487179487179487,1.6737179487179488,117.39563385675986
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T 701 TO 820 MARKET LANE,NON-DOMESTIC AND COMMERCIAL,2,152,140.0,16028,220.99,105.44736842105263,0.9210526315789473,1.4538815789473685,72.52816869541608
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.(NEAR POLICE STN),NON-DOMESTIC AND COMMERCIAL,2,85,83.0,13685,204.98,161.0,0.9764705882352941,2.4115294117647057,66.7626109864377
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,"S.R.T.QRTS, NEAR BUSSTOP",NON-DOMESTIC AND COMMERCIAL,2,213,201.0,42098,541.08,197.6431924882629,0.9436619718309859,2.540281690140845,77.80365195534856
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.QUARTERS,NON-DOMESTIC AND COMMERCIAL,2,137,132.0,13639,200.69,99.55474452554745,0.9635036496350365,1.464890510948905,67.96053615028153
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SANATH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,228,178.0,34342,365.28,150.62280701754386,0.7807017543859649,1.6021052631578947,94.01554971528691
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SIVAJI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,459,10.0,76.5,1.0,1.6666666666666667,45.9
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SRT821 TO 920 RK BKRY OPP LANE,NON-DOMESTIC AND COMMERCIAL,2,53,52.0,3966,97.96,74.83018867924528,0.9811320754716981,1.8483018867924528,40.48591261739486
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,STREET LIGHTS,NON-DOMESTIC AND COMMERCIAL,2,6,6.0,275,16.0,45.833333333333336,1.0,2.6666666666666665,17.1875
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,81,80.0,10274,130.72,126.8395061728395,0.9876543209876543,1.6138271604938272,78.59547123623011
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,SUBASH NAGAR (WEST),NON-DOMESTIC AND COMMERCIAL,2,50,46.0,6353,94.5,127.06,0.92,1.89,67.22751322751323
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,TULASI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,2,2.0,122,7.0,61.0,1.0,3.5,17.428571428571427
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,UDAY NAGAR,NON-DOMESTIC AND COMMERCIAL,2,21,19.0,3683,48.4,175.38095238095238,0.9047619047619048,2.3047619047619046,76.09504132231405
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,ALLAPUR,NON-DOMESTIC AND COMMERCIAL,2,92,83.0,23759,190.62,258.25,0.9021739130434783,2.0719565217391307,124.6406463120344
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,ALLAPUR-I,NON-DOMESTIC AND COMMERCIAL,2,79,79.0,13981,141.83,176.9746835443038,1.0,1.7953164556962027,98.57575971233166
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,AROGYA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,28,20.0,810,19.0,28.928571428571427,0.7142857142857143,0.6785714285714286,42.63157894736842
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BABBUGUDA,NON-DOMESTIC AND COMMERCIAL,2,44,42.0,4097,87.56,93.11363636363636,0.9545454545454546,1.99,46.79077204202832
