circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load,units_per_service,service_utilization_ratio,avg_load_per_service,load_efficiency,efficiency_category,anomaly_score,anomaly,risk_category
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,KAILASH NAGAR,NON-DOMESTIC AND COMMERCIAL,2,56,56.0,7229,79.46,129.08928571428572,1.0,1.418928571428571,90.97659199597284,MEDIUM EFFICIENCY,0.2519352060451728,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,KUKATPALLY X ROADS,NON-DOMESTIC AND COMMERCIAL,2,166,139.0,22800,400.98,137.34939759036143,0.8373493975903614,2.415542168674699,56.860691306299564,MEDIUM EFFICIENCY,0.21915792303162912,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,MOOSAPET,NON-DOMESTIC AND COMMERCIAL,2,208,156.0,43039,555.02,206.91826923076923,0.75,2.6683653846153845,77.54495333501495,MEDIUM EFFICIENCY,0.17639695982613535,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,NEHRU NAGAR,NON-DOMESTIC AND COMMERCIAL,2,110,106.0,12883,171.2,117.11818181818182,0.9636363636363636,1.5563636363636362,75.25116822429906,MEDIUM EFFICIENCY,0.24051281737177144,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,NEW S R T 601 TO 700,NON-DOMESTIC AND COMMERCIAL,2,74,72.0,7815,106.56,105.60810810810813,0.972972972972973,1.44,73.33896396396396,MEDIUM EFFICIENCY,0.25588980926935095,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,RAJA RAJESHWARI NAGAR,NON-DOMESTIC AND COMMERCIAL,2,45,39.0,4237,97.53,94.15555555555557,0.8666666666666667,2.1673333333333336,43.44304316620527,LOW EFFICIENCY,0.2624010689855792,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,RAVINDRA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,57,54.0,11515,95.22,202.01754385964912,0.9473684210526316,1.6705263157894736,120.93047679059022,HIGH EFFICIENCY,0.23393587190117165,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.P.NAGAR (MARKET),NON-DOMESTIC AND COMMERCIAL,2,156,148.0,30652,261.1,196.48717948717947,0.9487179487179488,1.6737179487179488,117.39563385675986,HIGH EFFICIENCY,0.19408618311532594,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T 701 TO 820 MARKET LANE,NON-DOMESTIC AND COMMERCIAL,2,152,140.0,16028,220.99,105.44736842105264,0.9210526315789472,1.4538815789473685,72.52816869541608,MEDIUM EFFICIENCY,0.23230818922756957,1,LOW RISK
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,SANATHNAGAR,S.R.T.(NEAR POLICE STN),NON-DOMESTIC AND COMMERCIAL,2,85,83.0,13685,204.98,161.0,0.976470588235294,2.4115294117647057,66.7626109864377,MEDIUM EFFICIENCY,0.24732873810043038,1,LOW RISK
